platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
coupang,1601751214,"[2입기획] 미샤 수퍼 아쿠아 울트라 히알론 클렌징 폼, 200ml, 2개",클렌징폼,,319,4.579937304075235,30,2,287
coupang,1605923161,"미샤 비타씨플러스 안색 토너, 200ml, 1개",토너,,134,4.529850746268656,5,8,121
coupang,1633597923,"에뛰드 더블래스팅 리퀴드 파운데이션 30g, 1개, 뉴트럴베이지",파운데이션,,95,3.663157894736842,30,1,64
coupang,1665858959,"미샤 래디언스 퍼펙트핏 쿠션 15g, 23호 샌드, 1개",쿠션팩트,,325,4.446153846153846,32,10,283
coupang,1688766354,"AHC 허브 솔루션 레몬 토너, 500ml, 1개",토너,,87,3.5057471264367814,30,2,55
coupang,1688783769,"AHC 허브 솔루션 알로에 베라 토너, 500ml, 1개할인",스킨케어,,105,3.8380952380952382,30,0,75
coupang,1688789528,"AHC 허브 솔루션 로즈 토너, 500ml, 1개",스킨케어,,92,3.7717391304347827,27,0,66
coupang,1688789528,"AHC 허브 솔루션 로즈 토너, 500ml, 1개",토너,,1,5.0,27,0,66
coupang,1706630764,"포니이펙트 커버스테이 쿠션 파운데이션 EX 본품 15g + 리필 15g 세트, 002 내추럴아이보리, 1개4",쿠션팩트,,272,4.477941176470588,31,5,236
coupang,1709804443,"더하르나이 시카이드 크림 미스트, 120ml, 1개",미스트,,33,4.484848484848484,2,3,28
coupang,1711131706,"끌레드벨 글로우파워 리프트 브이 쿠션 파운데이션 리필 13g, 21호, 2개",쿠션팩트,,205,4.560975609756097,11,9,185
coupang,1712348180,"블랑네이처 여드름기능성 클렌징폼, 150ml, 1개",클렌징폼,,285,4.515789473684211,24,14,247
coupang,175307932,"머지 더 퍼스트 벨벳 립 틴트, V11 상하이 레드, 1개",립틴트,,317,4.318611987381703,38,12,267
coupang,1758098717,"미샤 노 리터치 보정 마스카라 9.5g, 투명, 1개",마스카라,,292,4.332191780821918,35,11,246
coupang,177283535,"은율 달팽이 인텐시브 페이셜 케어 아이크림, 40ml, 3개",아이크림,,268,4.470149253731344,16,23,229
coupang,1776164694,"아비브 어성초 에센스 카밍펌프, 50ml, 1개",세럼,,45,4.4222222222222225,3,4,38
coupang,18114848,"토니모리 루미너스 여신광채 비비크림 SPF37 PA++, 1호 화사한 베이지, 45g, 1개",BB크림,,312,4.5256410256410255,29,4,279
coupang,1814412512,"롬앤 제로 매트 립스틱, 1개, 08어도러블",립스틱,,316,4.477848101265823,34,3,279
coupang,18359349,"에뛰드 하우스 순정 약산성 5.5 진정 토너, 350ml, 1개",토너,,120,3.9166666666666665,31,2,87
coupang,1836727385,"정샘물 에센셜 스킨 누더 쿠션 파운데이션 14g + 리필 쿠션 14g 세트, 페어라이트, 1개",쿠션팩트,,328,4.536585365853658,30,6,292
coupang,18481065,"AHC 온리포맨 폼 클렌저, 140ml, 1개",클렌징폼,,62,4.225806451612903,13,0,49
coupang,188177334,"비타할로 미백수분 블랙 마스크팩 25ml, 1개입, 20개",마스크팩,,286,4.4125874125874125,23,18,245
coupang,1906589195,"엠시피 1+1강력방수 글래머 볼륨 마스카라, 1개, 글래머 마스카라+스키니 마스카라할인",마스카라,,209,4.488038277511961,20,12,177
coupang,1951275570,"메디필 럭셔리 24k 골드 앰플, 100ml, 1개",세럼,,230,4.4,23,16,191
coupang,1952020502,"오휘 얼티밋 커버 쿠션 모이스쳐 본품 15g + 리필 15g, 1호 밀크 베이지, 1개",쿠션팩트,,236,4.317796610169491,23,18,195
coupang,1954900253,"은율 데일리케어 퓨어 버블 약산성 폼클렌징, 500ml, 1개",클렌징폼,,288,4.357638888888889,33,11,244
coupang,1977642434,"맥퀸뉴욕 페이크 업 3색 쉐딩 9g, 그레이브라운, 1개",화장품,,260,4.226923076923077,34,12,214
coupang,1981739387,"라운드랩 1025 독도 미스트, 150ml, 1개",미스트,,68,4.279411764705882,12,1,55
coupang,198325718,"더페이스샵 미감수 브라이트 리치 클렌징오일, 150ml, 1개",클렌징오일,,308,4.4935064935064934,31,11,266
coupang,199944262,"치카이치코 원픽 스키니카라 마스카라 3g, 01픽싱볼륨, 1개",마스카라,,298,4.318791946308725,39,13,246
coupang,202199369,"은율 내츄럴 아보카도 마스크팩, 1개입, 200개",마스크팩,,37,4.0,6,4,27
coupang,2032659522,"라운드랩 1025 독도 수분 워터겔 마스크 30ml, 1개입, 10개",마스크팩,,120,4.158333333333333,27,1,92
coupang,2032659726,"라운드랩 1025 독도 앰플, 45g, 1개",세럼,,64,4.328125,11,1,52
coupang,2032659955,"라운드랩 1025 독도 아이크림, 30ml, 1개",아이크림,,52,4.538461538461538,5,1,46
coupang,2034246304,"이니스프리 블랙티 유스 앰플, 50ml, 1개",세럼,,52,3.8076923076923075,17,0,35
coupang,2040431864,"바닐라코 클린 잇 제로 폼 클렌저, 150ml, 2개",클렌징폼,,228,4.701754385964913,14,2,212
coupang,2044677790,"이니스프리 블랙티 유스 인핸싱 크림, 50ml, 1개쿠폰할인",나이트크림,,91,4.527472527472527,10,0,81
coupang,2055615820,"3W클리닉 콜라겐 파운데이션 50ml, 23호 내추럴베이지, 1개",파운데이션,,209,4.014354066985646,39,16,154
coupang,209380961,"네이처리퍼블릭 온라인 전용 불가리안 로즈 스킨케어 스페셜세트, 1세트",화장품,,174,4.172413793103448,20,19,135
coupang,2121815288,"더페이스샵 신선한 제주 알로에 수딩 클렌징 폼, 150ml, 1개",클렌징폼,,322,4.515527950310559,32,9,281
coupang,2127397111,"코스알엑스 풀핏 프로폴리스 라이트 앰플, 30ml, 1개",세럼,,198,4.646464646464646,7,12,179
coupang,2161916673,"달바 화이트 트러플 리턴 오일 크림 클렌저, 160ml, 2개",클렌징오일,,78,4.4743589743589745,10,0,68
coupang,2175181517,"이즈앤트리 히아루론산 워터 미스트, 100ml, 1개",미스트,,58,4.758620689655173,2,1,55
coupang,217888999,"셀리맥스 베이킹 소다 딥 포어 지우개 폼 클렌징, 150ml, 1개",클렌징폼,,192,4.817708333333333,4,3,185
coupang,2183445,"한스킨 수퍼 쓰리 솔루션 비비크림 SPF35 PA++, 30ml, 1개",BB크림,,282,4.560283687943262,30,0,252
coupang,218405024,"티스 퍼펙트 오프 클렌징 오일, 230ml, 1개",클렌징오일,,277,4.671480144404332,12,9,256
